,Year,Season,Anomaly
75,1898,Winter,-0.275
76,1899,Autumn,-0.034999999999999996
77,1899,Spring,-0.22
78,1899,Summer,-0.185
79,1899,Winter,-0.265
80,1900,Autumn,-0.03
81,1900,Spring,-0.025
82,1900,Summer,-0.07
83,1900,Winter,-0.255
84,1901,Autumn,-0.22000000000000003
85,1901,Spring,-0.05
86,1901,Summer,-0.07500000000000001
87,1901,Winter,-0.21000000000000002
88,1902,Autumn,-0.28
89,1902,Spring,-0.32
90,1902,Summer,-0.245
91,1902,Winter,-0.22
92,1903,Autumn,-0.4
93,1903,Spring,-0.405
94,1903,Summer,-0.35
95,1903,Winter,-0.29000000000000004
96,1904,Autumn,-0.46
97,1904,Spring,-0.405
98,1904,Summer,-0.52
99,1904,Winter,-0.545
100,1905,Autumn,-0.175
101,1905,Spring,-0.25
102,1905,Summer,-0.27
103,1905,Winter,-0.38
104,1906,Autumn,-0.23
105,1906,Spring,-0.215
106,1906,Summer,-0.105
107,1906,Winter,-0.32
108,1907,Autumn,-0.33
109,1907,Spring,-0.365
110,1907,Summer,-0.365
111,1907,Winter,-0.36
112,1908,Autumn,-0.43999999999999995
113,1908,Spring,-0.45
114,1908,Summer,-0.375
115,1908,Winter,-0.42
116,1909,Autumn,-0.39
117,1909,Spring,-0.53
118,1909,Summer,-0.45
119,1909,Winter,-0.535
120,1910,Autumn,-0.445
121,1910,Spring,-0.43
122,1910,Summer,-0.45499999999999996
123,1910,Winter,-0.375
124,1911,Autumn,-0.425
125,1911,Spring,-0.41500000000000004
126,1911,Summer,-0.46
127,1911,Winter,-0.615
128,1912,Autumn,-0.45999999999999996
129,1912,Spring,-0.29000000000000004
130,1912,Summer,-0.295
131,1912,Winter,-0.29000000000000004
132,1913,Autumn,-0.325
133,1913,Spring,-0.37
134,1913,Summer,-0.37
135,1913,Winter,-0.43
136,1914,Autumn,-0.175
137,1914,Spring,-0.175
138,1914,Summer,-0.19
139,1914,Winter,-0.045000000000000005
140,1915,Autumn,-0.08
141,1915,Spring,-0.13
142,1915,Summer,-0.08
143,1915,Winter,-0.18
144,1916,Autumn,-0.345
145,1916,Spring,-0.355
146,1916,Summer,-0.275
147,1916,Winter,-0.27
148,1917,Autumn,-0.44
149,1917,Spring,-0.485
150,1917,Summer,-0.49
151,1917,Winter,-0.495
152,1918,Autumn,-0.24
153,1918,Spring,-0.245
154,1918,Summer,-0.33
155,1918,Winter,-0.505
156,1919,Autumn,-0.155
157,1919,Spring,-0.32999999999999996
158,1919,Summer,-0.18
159,1919,Winter,-0.385
160,1920,Autumn,-0.33999999999999997
161,1920,Spring,-0.12
162,1920,Summer,-0.275
163,1920,Winter,-0.33
164,1921,Autumn,-0.24
165,1921,Spring,-0.16
166,1921,Summer,-0.20500000000000002
167,1921,Winter,-0.245
168,1922,Autumn,-0.315
169,1922,Spring,-0.21000000000000002
170,1922,Summer,-0.26
171,1922,Winter,-0.36
172,1923,Autumn,-0.13999999999999999
173,1923,Spring,-0.375
174,1923,Summer,-0.29000000000000004
175,1923,Winter,-0.31
176,1924,Autumn,-0.2
177,1924,Spring,-0.29
178,1924,Summer,-0.21000000000000002
179,1924,Winter,-0.255
180,1925,Autumn,-0.16
181,1925,Spring,-0.215
182,1925,Summer,-0.36
183,1925,Winter,-0.315
184,1926,Autumn,-0.039999999999999994
185,1926,Spring,-0.13
186,1926,Summer,-0.13
187,1926,Winter,0.014999999999999986
188,1927,Autumn,-0.11000000000000001
189,1927,Spring,-0.26
190,1927,Summer,-0.2
191,1927,Winter,-0.28
192,1928,Autumn,-0.185
193,1928,Spring,-0.25
194,1928,Summer,-0.23500000000000001
195,1928,Winter,-0.16
196,1929,Autumn,-0.27499999999999997
197,1929,Spring,-0.26
198,1929,Summer,-0.325
199,1929,Winter,-0.44999999999999996
200,1930,Autumn,-0.08499999999999999
201,1930,Spring,-0.135
202,1930,Summer,-0.22999999999999998
203,1930,Winter,-0.32
204,1931,Autumn,0.035
205,1931,Spring,-0.22
206,1931,Summer,-0.035
207,1931,Winter,-0.125
208,1932,Autumn,-0.115
209,1932,Spring,-0.17
210,1932,Summer,-0.14
211,1932,Winter,-0.135
212,1933,Autumn,-0.27
213,1933,Spring,-0.29500000000000004
214,1933,Summer,-0.24000000000000002
215,1933,Winter,-0.28
216,1934,Autumn,-0.10999999999999999
217,1934,Spring,-0.185
218,1934,Summer,-0.19999999999999998
219,1934,Winter,-0.16
220,1935,Autumn,-0.21000000000000002
221,1935,Spring,-0.22499999999999998
222,1935,Summer,-0.175
223,1935,Winter,-0.13
224,1936,Autumn,-0.11
225,1936,Spring,-0.115
226,1936,Summer,-0.08499999999999999
227,1936,Winter,-0.33
228,1937,Autumn,0.03499999999999999
229,1937,Spring,-0.08499999999999999
230,1937,Summer,-0.020000000000000004
231,1937,Winter,-0.015
232,1938,Autumn,0.035
233,1938,Spring,0.05500000000000001
234,1938,Summer,-0.09
235,1938,Winter,-0.0050000000000000044
236,1939,Autumn,0.019999999999999997
237,1939,Spring,-0.135
238,1939,Summer,-0.045
239,1939,Winter,-0.095
240,1940,Autumn,0.19999999999999998
241,1940,Spring,0.095
242,1940,Summer,0.11
243,1940,Winter,0.18
244,1941,Autumn,0.21000000000000002
245,1941,Spring,0.165
246,1941,Summer,0.225
247,1941,Winter,0.24000000000000002
248,1942,Autumn,0.16
249,1942,Spring,-0.035
250,1942,Summer,0.10500000000000001
251,1942,Winter,0.085
252,1943,Autumn,0.115
253,1943,Spring,0.09
254,1943,Summer,0.0
255,1943,Winter,0.105
256,1944,Autumn,0.26
257,1944,Spring,0.175
258,1944,Summer,0.12
259,1944,Winter,0.345
260,1945,Autumn,0.12
261,1945,Spring,0.15000000000000002
262,1945,Summer,0.12000000000000001
263,1945,Winter,0.05
264,1946,Autumn,-0.065
265,1946,Spring,0.0
266,1946,Summer,-0.024999999999999998
267,1946,Winter,-0.10499999999999998
268,1947,Autumn,0.035
269,1947,Spring,-0.015
270,1947,Summer,-0.065
271,1947,Winter,-0.12
272,1948,Autumn,-0.08
273,1948,Spring,-0.13999999999999999
274,1948,Summer,-0.075
275,1948,Winter,-0.08499999999999999
276,1949,Autumn,-0.075
277,1949,Spring,-0.09999999999999999
278,1949,Summer,-0.12
279,1949,Winter,-0.155
280,1950,Autumn,-0.18
281,1950,Spring,-0.17500000000000002
282,1950,Summer,-0.195
283,1950,Winter,-0.14500000000000002
284,1951,Autumn,-0.0050000000000000044
285,1951,Spring,-0.055
286,1951,Summer,-0.11
287,1951,Winter,-0.21500000000000002
288,1952,Autumn,-0.05
289,1952,Spring,0.015
290,1952,Summer,0.075
291,1952,Winter,0.07999999999999999
292,1953,Autumn,0.08
293,1953,Spring,0.09999999999999999
294,1953,Summer,0.08
295,1953,Winter,0.06
296,1954,Autumn,-0.024999999999999994
297,1954,Spring,-0.15
298,1954,Summer,-0.11499999999999999
299,1954,Winter,-0.16
300,1955,Autumn,-0.16
301,1955,Spring,-0.245
302,1955,Summer,-0.12
303,1955,Winter,-0.045
304,1956,Autumn,-0.275
305,1956,Spring,-0.185
306,1956,Summer,-0.225
307,1956,Winter,-0.16999999999999998
308,1957,Autumn,0.10500000000000001
309,1957,Spring,-0.03
310,1957,Summer,0.05
311,1957,Winter,-0.0050000000000000044
312,1958,Autumn,0.034999999999999996
313,1958,Spring,0.035
314,1958,Summer,0.09
315,1958,Winter,0.14
316,1959,Autumn,0.05
317,1959,Spring,0.015
318,1959,Summer,0.010000000000000002
319,1959,Winter,0.07
320,1960,Autumn,-0.095
321,1960,Spring,-0.09
322,1960,Summer,-0.0050000000000000044
323,1960,Winter,0.03
324,1961,Autumn,0.049999999999999996
325,1961,Spring,0.10500000000000001
326,1961,Summer,0.055
327,1961,Winter,0.13999999999999999
328,1962,Autumn,-0.025
329,1962,Spring,0.08
330,1962,Summer,-0.07
331,1962,Winter,0.09
332,1963,Autumn,0.095
333,1963,Spring,-0.025
334,1963,Summer,-0.035
335,1963,Winter,0.19
336,1964,Autumn,-0.27
337,1964,Spring,-0.26
338,1964,Summer,-0.14
339,1964,Winter,-0.030000000000000002
340,1965,Autumn,-0.095
341,1965,Spring,-0.135
342,1965,Summer,-0.175
343,1965,Winter,-0.095
344,1966,Autumn,-0.025
345,1966,Spring,-0.11
346,1966,Summer,0.0
347,1966,Winter,-0.095
348,1967,Autumn,0.010000000000000002
349,1967,Spring,0.020000000000000004
350,1967,Summer,0.005
351,1967,Winter,-0.125
352,1968,Autumn,-0.11
353,1968,Spring,0.06
354,1968,Summer,-0.115
355,1968,Winter,-0.135
356,1969,Autumn,0.165
357,1969,Spring,0.055
358,1969,Summer,0.075
359,1969,Winter,-0.19999999999999998
360,1970,Autumn,0.0049999999999999975
361,1970,Spring,0.075
362,1970,Summer,0.075
363,1970,Winter,0.065
364,1971,Autumn,-0.055
365,1971,Spring,-0.11
366,1971,Summer,-0.06999999999999999
367,1971,Winter,-0.125
368,1972,Autumn,-0.045000000000000005
369,1972,Spring,0.08
370,1972,Summer,-0.0049999999999999975
371,1972,Winter,-0.09000000000000001
372,1973,Autumn,0.125
373,1973,Spring,0.21500000000000002
374,1973,Summer,0.215
375,1973,Winter,0.175
376,1974,Autumn,-0.125
377,1974,Spring,-0.019999999999999997
378,1974,Summer,-0.11000000000000001
379,1974,Winter,-0.035
380,1975,Autumn,-0.015
381,1975,Spring,0.010000000000000002
382,1975,Summer,-0.015
383,1975,Winter,-0.015
384,1976,Autumn,-0.235
385,1976,Spring,-0.049999999999999996
386,1976,Summer,-0.155
387,1976,Winter,-0.05
388,1977,Autumn,0.22
389,1977,Spring,0.14
390,1977,Summer,0.275
391,1977,Winter,0.11
392,1978,Autumn,0.135
393,1978,Spring,0.085
394,1978,Summer,-0.03
395,1978,Winter,0.060000000000000005
396,1979,Autumn,0.235
397,1979,Spring,0.16
398,1979,Summer,0.115
399,1979,Winter,0.024999999999999994
400,1980,Autumn,0.31
401,1980,Spring,0.22000000000000003
402,1980,Summer,0.265
403,1980,Winter,0.33
404,1981,Autumn,0.26
405,1981,Spring,0.255
406,1981,Summer,0.22000000000000003
407,1981,Winter,0.48
408,1982,Autumn,0.055
409,1982,Spring,0.215
410,1982,Summer,0.105
411,1982,Winter,0.18
412,1983,Autumn,0.4
413,1983,Spring,0.225
414,1983,Summer,0.345
415,1983,Winter,0.375
416,1984,Autumn,0.15
417,1984,Spring,0.19999999999999998
418,1984,Summer,0.17
419,1984,Winter,0.175
420,1985,Autumn,0.14500000000000002
421,1985,Spring,0.095
422,1985,Summer,0.14
423,1985,Winter,0.020000000000000004
424,1986,Autumn,0.15999999999999998
425,1986,Spring,0.18
426,1986,Summer,0.14
427,1986,Winter,0.245
428,1987,Autumn,0.3
429,1987,Spring,0.26
430,1987,Summer,0.275
431,1987,Winter,0.36
432,1988,Autumn,0.32499999999999996
433,1988,Spring,0.41500000000000004
434,1988,Summer,0.415
435,1988,Winter,0.455
436,1989,Autumn,0.2
437,1989,Spring,0.33999999999999997
438,1989,Summer,0.21500000000000002
439,1989,Winter,0.295
440,1990,Autumn,0.435
441,1990,Spring,0.55
442,1990,Summer,0.38
443,1990,Winter,0.41500000000000004
444,1991,Autumn,0.33999999999999997
445,1991,Spring,0.4
446,1991,Summer,0.39
447,1991,Winter,0.51
448,1992,Autumn,0.135
449,1992,Spring,0.245
450,1992,Summer,0.155
451,1992,Winter,0.38
452,1993,Autumn,0.13
453,1993,Spring,0.31
454,1993,Summer,0.18
455,1993,Winter,0.32
456,1994,Autumn,0.325
457,1994,Spring,0.39
458,1994,Summer,0.245
459,1994,Winter,0.22500000000000003
460,1995,Autumn,0.38
461,1995,Spring,0.43999999999999995
462,1995,Summer,0.415
463,1995,Winter,0.59
464,1996,Autumn,0.24000000000000002
465,1996,Spring,0.34
466,1996,Summer,0.26
467,1996,Winter,0.425
468,1997,Autumn,0.41
469,1997,Spring,0.5800000000000001
470,1997,Summer,0.37
471,1997,Winter,0.415
472,1998,Autumn,0.545
473,1998,Spring,0.525
474,1998,Summer,0.69
475,1998,Winter,0.69
476,1999,Autumn,0.32
477,1999,Spring,0.335
478,1999,Summer,0.33
479,1999,Winter,0.5700000000000001
480,2000,Autumn,0.25
481,2000,Spring,0.55
482,2000,Summer,0.3
483,2000,Winter,0.5
484,2001,Autumn,0.5599999999999999
485,2001,Spring,0.5650000000000001
486,2001,Summer,0.48
487,2001,Winter,0.445
488,2002,Autumn,0.665
489,2002,Spring,0.615
490,2002,Summer,0.545
491,2002,Winter,0.7050000000000001
492,2003,Autumn,0.655
493,2003,Spring,0.555
494,2003,Summer,0.62
495,2003,Winter,0.535
496,2004,Autumn,0.565
497,2004,Spring,0.575
498,2004,Summer,0.505
499,2004,Winter,0.56
500,2005,Autumn,0.72
501,2005,Spring,0.685
502,2005,Summer,0.635
503,2005,Winter,0.6
504,2006,Autumn,0.625
505,2006,Spring,0.59
506,2006,Summer,0.605
507,2006,Winter,0.67
508,2007,Autumn,0.65
509,2007,Spring,0.655
510,2007,Summer,0.585
511,2007,Winter,0.84
512,2008,Autumn,0.585
513,2008,Spring,0.65
514,2008,Summer,0.40499999999999997
515,2008,Winter,0.5
516,2009,Autumn,0.6799999999999999
517,2009,Spring,0.63
518,2009,Summer,0.5499999999999999
519,2009,Winter,0.7
520,2010,Autumn,0.775
521,2010,Spring,0.77
522,2010,Summer,0.78
523,2010,Winter,0.625
524,2011,Autumn,0.59
525,2011,Spring,0.61
526,2011,Summer,0.56
527,2011,Winter,0.595
528,2012,Autumn,0.69
529,2012,Spring,0.76
530,2012,Summer,0.585
531,2012,Winter,0.5549999999999999
532,2013,Autumn,0.665
533,2013,Spring,0.6950000000000001
534,2013,Summer,0.635
535,2013,Winter,0.635
536,2014,Autumn,0.7050000000000001
537,2014,Spring,0.88
538,2014,Summer,0.6599999999999999
539,2014,Winter,0.6950000000000001
540,2015,Autumn,0.91
541,2015,Spring,0.925
542,2015,Summer,0.76
543,2015,Winter,0.865
544,2016,Autumn,0.9500000000000001
545,2016,Spring,1.085
546,2016,Summer,0.9400000000000001
547,2016,Winter,1.18
548,2017,Autumn,0.9400000000000001
549,2017,Spring,0.9099999999999999
550,2017,Summer,0.83
551,2017,Winter,0.9750000000000001
552,2018,Autumn,0.865
553,2018,Spring,0.87
554,2018,Summer,0.665
555,2018,Winter,0.975
556,2019,Autumn,0.99
557,2019,Spring,0.98
558,2019,Summer,0.91
559,2019,Winter,0.95
560,2020,Autumn,1.05
561,2020,Spring,1.04
562,2020,Summer,0.9400000000000001
563,2020,Winter,1.115
564,2021,Autumn,0.85
565,2021,Spring,0.8900000000000001
566,2021,Summer,0.72
567,2021,Winter,0.885
568,2022,Autumn,
569,2022,Spring,
570,2022,Summer,0.57
571,2022,Winter,1.19
